project_id,mp_name,state,constituency,work_category,implementing_agency,cost_estimate,sanctioned_amount,actual_expenditure,payment_count,start_date,expected_completion,actual_completion,status,has_tender_on_file,has_mp_recommendation,is_anomaly,anomaly_type,cost_deviation_ratio,expenditure_utilization,delay_days,district_cost_zscore
MPLADS-00001,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,Other Public Facilities,Zila Parishad,611000,658000,543900,2,16-10-2024,19-01-2025,17-03-2025,Completed,TRUE,TRUE,FALSE,,1.08,0.83,57,0.2
MPLADS-00002,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,"Railways, Roads, Pathways & Bridges",Gram Panchayat,498000,514000,301400,1,15-04-2023,09-11-2023,,In Progress,TRUE,TRUE,FALSE,,1.03,0.59,570,-0.67
MPLADS-00003,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,Other Public Facilities,District PWD,435000,423000,346200,2,02-02-2023,11-08-2023,27-08-2023,Completed,TRUE,TRUE,FALSE,,0.97,0.82,16,-0.79
MPLADS-00004,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,Other Public Facilities,Zila Parishad,399000,420000,369600,4,28-07-2024,11-12-2024,27-11-2024,Completed,TRUE,TRUE,FALSE,,1.05,0.88,-14,-0.8
MPLADS-00005,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,Others,Zila Parishad,690000,674000,279500,0,04-04-2024,29-07-2024,,In Progress,TRUE,FALSE,FALSE,,0.98,0.41,307,0.46
MPLADS-00006,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,Drinking Water Facility,Municipal Corporation,395000,445000,419500,2,15-12-2024,25-05-2025,27-06-2025,Completed,TRUE,TRUE,FALSE,,1.13,0.94,33,-0.73
MPLADS-00007,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,"Railways, Roads, Pathways & Bridges",State Rural Dev Agency,1011000,992000,820400,2,15-04-2023,28-10-2023,29-10-2023,Completed,TRUE,TRUE,FALSE,,0.98,0.83,1,-0.75
MPLADS-00008,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,Sanitation & Public Health,Gram Panchayat,1103000,1214000,0,0,28-09-2023,16-01-2024,,Not Started,TRUE,TRUE,FALSE,,1.1,0,502,0.71
MPLADS-00009,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,Other Public Facilities,Municipal Corporation,1159000,1045000,737300,2,22-03-2023,30-01-2024,,In Progress,TRUE,TRUE,FALSE,,0.9,0.71,488,-0.61
MPLADS-00010,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,Other Public Facilities,Municipal Corporation,1713000,1573000,1363100,2,14-08-2024,18-02-2025,08-02-2025,Completed,TRUE,TRUE,FALSE,,0.92,0.87,-10,-0.31
MPLADS-00011,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,"Railways, Roads, Pathways & Bridges",Gram Panchayat,1268000,1244000,0,0,23-03-2023,07-01-2024,,Not Started,TRUE,TRUE,FALSE,,0.98,0,511,-0.34
MPLADS-00012,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,Others,Cooperative Society,1424000,1324000,0,0,12-10-2024,25-07-2025,,Not Started,TRUE,TRUE,FALSE,,0.93,0,0,-0.61
MPLADS-00013,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,Other Public Facilities,Cooperative Society,1713000,6644000,5941900,2,01-10-2023,21-05-2024,,In Progress,TRUE,TRUE,TRUE,cost_overrun,3.88,0.89,376,2.61
MPLADS-00014,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,"Railways, Roads, Pathways & Bridges",Municipal Corporation,1071000,972000,545000,2,25-06-2023,16-03-2024,,In Progress,TRUE,TRUE,FALSE,,0.91,0.56,442,-0.78
